X,Y,Means,Confidence
50,50,0,1
60,50,0.012262,0
70,50,0.024146,0
80,50,0.035716,0
90,50,0.047247,0
100,50,0.059032,0
110,50,0.071298,0
120,50,0.084238,0
130,50,0.098067,0
140,50,0.11306,0
150,50,0.12954,0
160,50,0.14787,0
170,50,0.16841,0
180,50,0.19143,0
190,50,0.21703,0
200,50,0.24512,0
210,50,0.2753,0
220,50,0.30688,0
230,50,0.3389,0
240,50,0.3702,0
250,50,0.39947,0
260,50,0.42544,0
270,50,0.44694,0
280,50,0.46302,0
290,50,0.47308,0
300,50,0.4769,0
310,50,0.4747,0
320,50,0.46712,0
330,50,0.45525,0
340,50,0.44052,0
350,50,0.42463,0
360,50,0.40938,0
370,50,0.39655,0
380,50,0.3877,0
390,50,0.38405,0
400,50,0.38632,0
410,50,0.39467,0
420,50,0.40867,0
430,50,0.42731,0
440,50,0.44911,0
450,50,0.47226,0
460,50,0.49482,0
470,50,0.51494,0
480,50,0.53105,0
490,50,0.54204,0
500,50,0.5473,0
510,50,0.54674,0
520,50,0.54066,0
530,50,0.52965,0
540,50,0.51435,0
550,50,0.49538,0
560,50,0.4732,0
570,50,0.44815,0
580,50,0.42048,0
590,50,0.39039,0
600,50,0.35817,0
610,50,0.32422,0
620,50,0.28898,0
630,50,0.25291,0
640,50,0.21639,0
650,50,0.17993,0
660,50,0.14447,0
50,60,0.01675,0
60,60,0.030935,0
70,60,0.044229,0
80,60,0.056747,0
90,60,0.068974,0
100,60,0.081408,0
110,60,0.094414,0
120,60,0.10827,0
130,60,0.12328,0
140,60,0.13979,0
150,60,0.15824,0
160,60,0.17912,0
170,60,0.20292,0
180,60,0.22999,0
190,60,0.26052,0
200,60,0.29437,0
210,60,0.33102,0
220,60,0.36959,0
230,60,0.4088,0
240,60,0.44712,0
250,60,0.48285,0
260,60,0.51432,0
270,60,0.54,0
280,60,0.5587,0
290,60,0.56966,0
300,60,0.57263,0
310,60,0.56791,0
320,60,0.55639,0
330,60,0.53949,0
340,60,0.51906,0
350,60,0.49727,0
360,60,0.47643,0
370,60,0.45879,0
380,60,0.44634,0
390,60,0.44061,0
400,60,0.44251,0
410,60,0.45226,0
420,60,0.46929,0
430,60,0.49235,0
440,60,0.5196,0
450,60,0.54876,0
460,60,0.57743,0
470,60,0.60331,0
480,60,0.62445,0
490,60,0.63947,0
500,60,0.64764,0
510,60,0.64882,0
520,60,0.6434,0
530,60,0.63205,0
540,60,0.61552,0
550,60,0.59451,0
560,60,0.5695,0
570,60,0.54083,0
580,60,0.50869,0
590,60,0.47333,0
600,60,0.43507,0
610,60,0.39441,0
620,60,0.35195,0
630,60,0.30826,0
640,60,0.26383,0
650,60,0.21932,0
660,60,0.17604,0
50,70,0.035604,0
60,70,0.052215,0
70,70,0.067208,0
80,70,0.080754,0
90,70,0.093614,0
100,70,0.10656,0
110,70,0.1201,0
120,70,0.13461,0
130,70,0.15041,0
140,70,0.16791,0
150,70,0.18761,0
160,70,0.21008,0
170,70,0.23588,0
180,70,0.26547,0
190,70,0.29905,0
200,70,0.33649,0
210,70,0.37719,0
220,70,0.42011,0
230,70,0.46375,0
240,70,0.50632,0
250,70,0.54584,0
260,70,0.58037,0
270,70,0.60818,0
280,70,0.62794,0
290,70,0.63881,0
300,70,0.64059,0
310,70,0.6337,0
320,70,0.61922,0
330,70,0.59884,0
340,70,0.57469,0
350,70,0.54928,0
360,70,0.52521,0
370,70,0.50502,0
380,70,0.49093,0
390,70,0.48464,0
400,70,0.48714,0
410,70,0.49865,0
420,70,0.51852,0
430,70,0.54532,0
440,70,0.57698,0
450,70,0.61096,0
460,70,0.64457,0
470,70,0.67526,0
480,70,0.70085,0
490,70,0.71981,0
500,70,0.73131,0
510,70,0.73517,0
520,70,0.73176,0
530,70,0.72175,0
