X,Y,Sample,RobotId
57.893,201.66,1.8848,1
157.71,167.59,2.1973,2
325.57,55.086,2.9883,3
460.32,133.03,1.7627,4
120.08,287.55,1.8408,1
280.04,296.47,1.1914,2
324.65,173.89,3.042,3
561.71,283.22,1.9824,4
83.2,316.76,1.5479,1
374.34,313.06,1.167,2
502.34,64.948,2.6563,3
720.18,78.793,1.8652,4
83.2,316.76,1.5527,1
602.49,314.7,1.8555,2
561.43,49.262,2.6123,3
726.3,270.55,2.0117,4
40.545,91.197,1.7285,1
635.26,310.04,1.8701,2
711.19,56.461,2.7197,3
725.85,270.42,2.0166,4
269.98,293.73,1.7188,1
635.36,310.03,1.875,2
725.97,128.33,2.793,3
725.83,270.35,2.0313,4
229.73,81.641,1.9629,1
489.39,304.91,1.1768,2
475.86,70.987,2.6611,3
725.85,270.38,2.0264,4
229.85,81.814,1.9678,1
425.23,310.76,1.2012,2
380.5,39.038,2.9395,3
737.78,77.504,1.8213,4
82.821,298.55,1.748,1
262.24,302.28,1.2598,2
523.39,52.082,2.6563,3
739.05,77.767,1.8164,4
124.71,76.185,1.8506,1
196.77,87.342,2.1484,2
321.78,39.806,2.9883,3
723.91,267.46,2.0117,4
58.431,272.15,1.6553,1
199.31,86.509,2.1631,2
486.5,171.88,2.8516,3
611.54,203.41,1.9629,4
58.746,272.2,1.665,1
79.135,44.865,1.9434,2
444.92,283.87,3.0176,3
710.67,79.098,1.8408,4
58.647,272.08,1.665,1
78.911,44.316,1.9238,2
303.07,309.57,3.0029,3
711.29,79.878,1.8408,4
58.68,272.14,1.665,1
79.081,44.145,1.9287,2
400.05,79.197,3.0518,3
724.64,272.04,2.0215,4
