X,Y,Means,Confidence
132.33,107.96,5,1
122.83,160.22,4,0
76.372,119.57,4,0
86.93,64.668,4,0
139.72,56.222,4,0
184.59,79.977,4,0
178.26,130.66,4,0
172.45,187.14,3,0
107.52,219.87,3,0
48.393,172.89,3,0
237.38,132.77,3,0
256.91,44.608,3,0
185.65,11.878,3,0
82.707,12.934,3,0
18.83,45.664,3,0
14.079,106.37,3,0
47.337,267.91,3,0
130.75,281.64,2,0
54.728,320.7,2,0
230.52,247.32,2,0
258.5,184.5,2,0
327.65,107.96,2,0
331.88,41.968,2,0
418.45,42.496,1,0
520.34,39.857,0,0
498.69,90.535,0,0
594.25,47.775,0,0
554.65,126.43,1,0
505.03,147.02,0,0
424.79,140.16,1,0
406.31,190.84,1,0
348.24,203.51,1,0
362.5,276.36,1,0
286.48,292.72,1,0
201.48,324.4,1,0
418.45,317.53,1,0
464.91,247.32,1,0
545.15,246.27,2,0
519.81,298,2,0
580.52,183.97,2,0
668.68,32.994,0,0
748.39,38.801,0,0
704.05,87.896,1,0
639.64,121.68,2,0
717.25,161.27,2,0
718.3,240.46,2,0
652.84,213.01,3,0
618.53,254.19,3,0
608.5,315.95,3,0
707.22,295.36,3,0
656.54,295.36,4,0
680.29,343.4,4,0
752.09,339.18,3,0
474.41,340.76,2,0
327.13,340.76,1,0
119.66,340.76,2,0
