X,Y,Means
50,50,2.245
50,60,2.3205
50,70,2.3851
50,80,2.4381
50,90,2.4788
50,100,2.5069
50,110,2.522
50,120,2.524
50,130,2.513
50,140,2.4893
50,150,2.4532
50,160,2.4053
50,170,2.3462
50,180,2.2769
50,190,2.1981
50,200,2.1111
50,210,2.0168
50,220,1.9164
50,230,1.8112
50,240,1.7022
50,250,1.5908
50,260,1.478
50,270,1.3651
50,280,1.253
50,290,1.1427
60,50,2.3569
60,60,2.4359
60,70,2.5036
60,80,2.5591
60,90,2.6019
60,100,2.6314
60,110,2.6475
60,120,2.6499
60,130,2.6388
60,140,2.6144
60,150,2.577
60,160,2.5273
60,170,2.466
60,180,2.394
60,190,2.3121
60,200,2.2215
60,210,2.1234
60,220,2.0189
60,230,1.9092
60,240,1.7957
60,250,1.6795
60,260,1.5619
60,270,1.444
60,280,1.327
60,290,1.2118
70,50,2.4633
70,60,2.5456
70,70,2.616
70,80,2.6739
70,90,2.7186
70,100,2.7495
70,110,2.7664
70,120,2.7692
70,130,2.7579
70,140,2.7328
70,150,2.6943
70,160,2.6429
70,170,2.5795
70,180,2.5049
70,190,2.4201
70,200,2.3262
70,210,2.2244
70,220,2.116
70,230,2.0023
70,240,1.8844
70,250,1.7638
70,260,1.6417
70,270,1.5192
70,280,1.3976
70,290,1.2779
80,50,2.5631
80,60,2.6484
80,70,2.7214
80,80,2.7814
80,90,2.8278
80,100,2.86
80,110,2.8777
80,120,2.8807
80,130,2.8693
80,140,2.8435
80,150,2.8038
80,160,2.7509
80,170,2.6855
80,180,2.6085
80,190,2.5209
80,200,2.424
80,210,2.3189
80,220,2.2069
80,230,2.0893
80,240,1.9675
80,250,1.8428
80,260,1.7165
80,270,1.5898
80,280,1.464
80,290,1.3401
90,50,2.6554
90,60,2.7433
90,70,2.8186
90,80,2.8806
90,90,2.9285
90,100,2.9617
90,110,2.9801
90,120,2.9833
90,130,2.9716
90,140,2.9452
90,150,2.9045
90,160,2.8501
90,170,2.7829
90,180,2.7037
90,190,2.6137
90,200,2.5139
90,210,2.4058
90,220,2.2905
90,230,2.1695
90,240,2.0441
90,250,1.9157
90,260,1.7857
90,270,1.6552
90,280,1.5255
90,290,1.3978
100,50,2.7393
100,60,2.8294
100,70,2.9068
100,80,2.9704
100,90,3.0195
100,100,3.0537
100,110,3.0725
100,120,3.0759
100,130,3.064
100,140,3.0369
100,150,2.9953
100,160,2.9396
100,170,2.8707
100,180,2.7895
100,190,2.6973
100,200,2.5951
100,210,2.4842
100,220,2.366
100,230,2.242
100,240,2.1134
100,250,1.9817
100,260,1.8483
100,270,1.7145
100,280,1.5815
100,290,1.4505
110,50,2.8138
110,60,2.9059
110,70,2.9849
110,80,3.0498
110,90,3.1
110,100,3.1349
110,110,3.1541
110,120,3.1576
110,130,3.1454
110,140,3.1177
110,150,3.0751
110,160,3.0183
110,170,2.9479
110,180,2.865
110,190,2.7708
110,200,2.6665
110,210,2.5533
110,220,2.4326
110,230,2.3059
110,240,2.1746
110,250,2.0402
110,260,1.9039
110,270,1.7673
110,280,1.6314
110,290,1.4975
120,50,2.8783
120,60,2.9719
120,70,3.0522
120,80,3.1182
120,90,3.1691
120,100,3.2045
120,110,3.224
120,120,3.2274
120,130,3.2149
120,140,3.1867
120,150,3.1433
120,160,3.0854
120,170,3.0137
120,180,2.9294
120,190,2.8336
120,200,2.7274
120,210,2.6122
120,220,2.4895
120,230,2.3607
120,240,2.2271
120,250,2.0904
120,260,1.9519
120,270,1.8128
120,280,1.6747
120,290,1.5385
130,50,2.932
130,60,3.0268
130,70,3.108
130,80,3.1746
130,90,3.2261
130,100,3.2618
130,110,3.2813
130,120,3.2846
130,130,3.2718
130,140,3.2431
130,150,3.199
130,160,3.1401
130,170,3.0675
130,180,2.982
130,190,2.8848
130,200,2.7772
130,210,2.6605
130,220,2.5361
130,230,2.4056
130,240,2.2704
130,250,2.1319
130,260,1.9916
130,270,1.8508
130,280,1.7109
130,290,1.573
140,50,2.9745
140,60,3.0699
140,70,3.1516
140,80,3.2187
140,90,3.2703
140,100,3.3061
140,110,3.3256
140,120,3.3287
140,130,3.3154
140,140,3.2862
140,150,3.2415
140,160,3.182
140,170,3.1085
140,180,3.0221
140,190,2.9239
140,200,2.8153
140,210,2.6975
140,220,2.572
140,230,2.4403
140,240,2.3039
140,250,2.1642
140,260,2.0227
140,270,1.8808
140,280,1.7397
140,290,1.6007
150,50,3.0053
150,60,3.1009
150,70,3.1827
150,80,3.2498
150,90,3.3014
150,100,3.337
150,110,3.3562
150,120,3.359
150,130,3.3454
150,140,3.3157
150,150,3.2705
150,160,3.2105
150,170,3.1364
150,180,3.0494
150,190,2.9506
150,200,2.8413
150,210,2.7229
150,220,2.5968
150,230,2.4645
150,240,2.3274
150,250,2.1871
150,260,2.0451
150,270,1.9026
150,280,1.761
150,290,1.6214
160,50,3.024
