X,Y,Means
141.82,101.5,3.2
141.82,101.5,4.8
105.08,156.92,2.4
105.08,156.92,3.6
192.42,43.672,2.4
192.42,43.672,3.6
85.801,59.936,2.4
85.801,59.936,3.6
27.973,118.97,1.6
27.973,118.97,2.4
138.81,12.951,1.6
138.81,12.951,2.4
235.79,141.26,2.4
235.79,141.26,3.6
152.06,253.9,1.6
152.06,253.9,2.4
294.82,209.93,1.6
294.82,209.93,2.4
329.16,76.2,1.6
329.16,76.2,2.4
658.66,312.33,3.2
658.66,312.33,4.8
593.6,339.44,2.4
593.6,339.44,3.6
627.34,246.07,2.4
627.34,246.07,3.6
734.56,272.57,2.4
734.56,272.57,3.6
720.7,211.13,1.6
720.7,211.13,2.4
560.47,238.24,1.6
560.47,238.24,2.4
483.97,330.4,1.6
483.97,330.4,2.4
720.7,364.14,2.4
720.7,364.14,3.6
652.03,398.47,1.6
652.03,398.47,2.4
649.62,57.527,0.8
649.62,57.527,1.2
522.52,135.84,0.8
522.52,135.84,1.2
403.25,246.07,0.8
403.25,246.07,1.2
231.58,343.05,0.8
231.58,343.05,1.2
