X,Y,Means,Confidence
50,50,1.8731,1
50,60,2.2623,0
50,70,2.6363,0
50,80,2.9697,0
50,90,3.2423,0
50,100,3.4431,0
50,110,3.5728,0
50,120,3.6427,0
50,130,3.6713,0
50,140,3.6783,0
50,150,3.6788,0
50,160,3.6783,0
50,170,3.6713,0
50,180,3.6427,0
50,190,3.5728,0
50,200,3.4431,0
50,210,3.2423,0
50,220,2.9697,0
50,230,2.6363,0
50,240,2.2623,0
60,50,2.2425,0
60,60,2.7085,0
60,70,3.1563,0
60,80,3.5554,0
60,90,3.8817,0
60,100,4.1221,0
60,110,4.2774,0
60,120,4.3611,0
60,130,4.3953,0
60,140,4.4037,0
60,150,4.4043,0
60,160,4.4037,0
60,170,4.3953,0
60,180,4.3611,0
60,190,4.2774,0
60,200,4.1221,0
60,210,3.8817,0
60,220,3.5554,0
60,230,3.1563,0
60,240,2.7085,0
70,50,2.5795,0
70,60,3.1155,0
70,70,3.6306,0
70,80,4.0897,0
70,90,4.465,0
70,100,4.7416,0
70,110,4.9201,0
70,120,5.0164,0
70,130,5.0558,0
70,140,5.0655,0
70,150,5.0662,0
70,160,5.0655,0
70,170,5.0558,0
70,180,5.0164,0
70,190,4.9201,0
70,200,4.7416,0
70,210,4.465,0
70,220,4.0897,0
70,230,3.6306,0
70,240,3.1155,0
80,50,2.8508,0
80,60,3.4432,0
80,70,4.0124,0
80,80,4.5198,0
80,90,4.9346,0
80,100,5.2402,0
80,110,5.4376,0
80,120,5.544,0
80,130,5.5875,0
80,140,5.5982,0
80,150,5.599,0
80,160,5.5982,0
80,170,5.5875,0
80,180,5.544,0
80,190,5.4376,0
80,200,5.2402,0
80,210,4.9346,0
80,220,4.5198,0
80,230,4.0124,0
80,240,3.4432,0
90,50,3.027,0
90,60,3.6561,0
90,70,4.2605,0
90,80,4.7993,0
90,90,5.2398,0
90,100,5.5643,0
90,110,5.7738,0
90,120,5.8868,0
90,130,5.9331,0
90,140,5.9444,0
90,150,5.9452,0
90,160,5.9444,0
90,170,5.9331,0
90,180,5.8868,0
90,190,5.7738,0
90,200,5.5643,0
90,210,5.2398,0
90,220,4.7993,0
90,230,4.2605,0
90,240,3.6561,0
100,50,3.0882,0
100,60,3.73,0
100,70,4.3466,0
100,80,4.8963,0
100,90,5.3456,0
100,100,5.6767,0
100,110,5.8905,0
100,120,6.0058,0
100,130,6.0529,0
100,140,6.0645,0
100,150,6.0653,0
100,160,6.0645,0
100,170,6.0529,0
100,180,6.0058,0
100,190,5.8905,0
100,200,5.6767,0
100,210,5.3456,0
100,220,4.8963,0
100,230,4.3466,0
100,240,3.73,0
110,50,3.027,0
110,60,3.6561,0
110,70,4.2605,0
110,80,4.7993,0
110,90,5.2398,0
110,100,5.5643,0
110,110,5.7738,0
110,120,5.8868,0
110,130,5.9331,0
110,140,5.9444,0
110,150,5.9452,0
110,160,5.9444,0
110,170,5.9331,0
110,180,5.8868,0
110,190,5.7738,0
110,200,5.5643,0
110,210,5.2398,0
110,220,4.7993,0
110,230,4.2605,0
110,240,3.6561,0
120,50,2.8508,0
120,60,3.4432,0
120,70,4.0124,0
120,80,4.5198,0
120,90,4.9346,0
120,100,5.2402,0
120,110,5.4376,0
120,120,5.544,0
120,130,5.5875,0
120,140,5.5982,0
120,150,5.599,0
120,160,5.5982,0
120,170,5.5875,0
120,180,5.544,0
120,190,5.4376,0
120,200,5.2402,0
120,210,4.9346,0
120,220,4.5198,0
120,230,4.0124,0
120,240,3.4432,0
