Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
1,2292349791,2989155351,1691576114,2739577398,11320774596,2371621735,10324481471,5043082291,5043082291,2535014046,1339232927,1319093823,937221992.3,3757932342,1412108730,1412108730
2,3005008636,2514575201,1912983521,2614799597,6884006780,3996583010,2756618109,10638832538,10638832538,4804701355,1395974339,762157546.1,758188804.2,4921688127,1741187981,1741187981
3,1406910020,1730344725,2054250334,789491054,2779104320,8304665862,2117018430,2247458692,2247458692,2384429687,1052496090,1215116532,1086618663,1360184314,1308838949,1308838949
4,1073663600,988011976.2,646316591,682788920.6,2671063083,935121420.3,3010153983,779113137.5,1685325859,1768445057,532919509.1,442631082.2,685049815.3,740072432.8,485305011,946120366.2
5,2495159545,1116038857,725458645.6,1401378667,1487065268,776246017.3,1544996500,2518694726,831147774.2,2363530995,1008964039,432213937.3,528686839,1765140830,1125273954,485544443.1
6,2038658425,2288246353,745894723,1153727827,4741478589,2408890805,3768898556,1062457622,3154332428,767870927.7,1725817681,928157307.5,368305241.2,1012285753,1141055480,427628573.1
7,980959934,1050218972,388331280.7,502125732.4,838097088.9,1405273785,1178907330,736578515,1514633828,748056638.4,453465480.3,494453627.8,357404820,565494164,450625832.6,395152900.9
8,974431948,999951877.1,371303570,388657101.8,813110903.4,728793097,775374987.6,753009977.8,752912839.9,3510507554,397215254.8,415211791.6,358336224.6,553964616.6,407585781.1,374904655.5
9,2510617097,1884874751,755487061.7,377936015.6,2259070938,737191942.8,5436928724,1149165919,734466468,1707146076,374851742.6,373023574.6,1345636060,1839831245,739955244.7,809209406.5
10,1092885341,954712898.4,362335440.9,374154665.8,773935240.2,738979481.4,812986691.4,798193113.7,721610541.4,794705619.7,363079951.6,359360300.2,458506126.8,553069634.3,393041309.8,462322328.6
11,1068624358,942399783.7,333615934.8,372558057.2,756685963.4,742490540.1,786486573.4,764436761.1,721610541.4,784682091.4,350963181.6,348929974.5,409901652.4,456160915.8,353635015.8,378843559.3
12,1003655288,2307806151,317124763.1,372558057.2,2469604731,756877456.8,784916167.2,3430973303,721610541.4,784682091.4,346787267.2,345104564.2,382009314.9,815137650.2,344872405.3,353925498.5
13,980994939.3,1101967689,309210961.5,372558057.2,2602539172,756877456.8,784916167.2,903390100.9,721610541.4,784682091.4,345685619.3,339003347.6,365067309.6,947139701.5,343580668.3,349102978.7
14,1431178234,992510984.5,302732768.9,372558057.2,1925683808,756877456.8,2087155865,1745146562,721610541.4,784682091.4,345685619.3,339657295.2,357283925.1,371657020.7,343580668.3,345743405.9
15,974680107.5,988801657.9,297797005.9,372558057.2,1514192950,756877456.8,683896335,862920616.8,721610541.4,784682091.4,345685619.3,339657295.2,357283925.1,352999692.1,343580668.3,341072149.2
16,964849004.8,978328410.6,297964777.5,372558057.2,796253228.7,3233539463,3139309112,794108451.5,1968626975,784682091.4,345685619.3,838742770.9,357283925.1,344261974.4,343580668.3,339187883.9
17,953697736,978462267.6,295156705.2,372558057.2,743788249.5,968448772.3,853101353,762650662.5,708070402.8,784682091.4,345685619.3,376821597.6,357283925.1,336940528.6,343580668.3,339187883.9
18,953697736,978462267.6,295156705.2,372558057.2,705536933.6,929857735.3,830088746.3,751916856.2,1740581781,1805535896,345685619.3,367276023.6,357283925.1,334031597.7,343580668.3,639846425.9
19,953697736,978462267.6,295156705.2,372558057.2,688365349.3,2552108401,1140490866,769003886.9,2346079140,1865112969,345685619.3,362219876.3,357283925.1,334031597.7,343580668.3,392934457
20,953697736,978462267.6,295156705.2,372558057.2,670359025.9,915164936.6,762506342.1,767803883.8,733013297.7,749012864,345685619.3,353237331,357283925.1,334031597.7,343580668.3,366949071.4
21,953697736,978462267.6,295156705.2,372558057.2,660011881.1,869042369.5,762906011.1,770935405.3,723295076.2,731908143.1,345685619.3,352907824.3,357283925.1,334031597.7,343580668.3,352907204
22,953697736,978462267.6,295156705.2,372558057.2,660011881.1,822710731.4,762906011.1,762965979.8,711517005.6,722195559.8,345685619.3,346566824,357283925.1,334031597.7,343580668.3,343223363
23,953697736,978462267.6,295156705.2,372558057.2,660011881.1,797297870,762906011.1,762740814.2,695219482.4,698015104.2,345685619.3,346387866.3,357283925.1,334031597.7,343580668.3,340431651.2
24,953697736,978462267.6,295156705.2,372558057.2,660011881.1,774926810.4,762906011.1,761144404.1,678249580.4,678105585.5,345685619.3,346387866.3,357283925.1,334031597.7,343580668.3,338682059
25,953697736,978462267.6,295156705.2,372558057.2,660011881.1,765406623,762906011.1,761144404.1,668533709.4,652290935.2,345685619.3,346387866.3,357283925.1,334031597.7,343580668.3,338682059
26,953697736,978462267.6,295156705.2,372558057.2,660011881.1,758562300.1,762906011.1,761144404.1,668533709.4,6240517211,345685619.3,346387866.3,357283925.1,334031597.7,343580668.3,338682059
27,1510371838,2378370720,953832915.5,628843050,4196640171,758562300.1,762906011.1,2421811381,668533709.4,740848587.5,880985470.1,346387866.3,357283925.1,777910155.6,873763766.8,338682059
28,979629741.5,1152734914,444776605.1,360452090.6,659283771.5,758562300.1,762906011.1,822753907,668533709.4,657317209.5,361358264.3,346387866.3,357283925.1,385820897.1,367564618.4,338682059
29,983987998.8,1062501640,361344600.8,348737292.3,647032855.9,758562300.1,762906011.1,809082495.1,668533709.4,638109550.3,344916749.3,346387866.3,357283925.1,371824032.1,355763086.3,338682059
