X,Y,Means
370,110,0.91726
430,90,0.037404
550,200,1.9119
230,210,-0.10587
600,70,2.1845
540,130,4.9541
560,100,3.7579
160,60,2.0805
610,90,4.0311
630,60,2.5753
510,110,0.078596
320,90,-0.28896
420,190,-0.57836
350,150,-0.92328
110,200,5.3
540,100,2.2288
120,120,5.9047
310,90,0.1671
230,60,0.968
640,80,2.9431
640,110,3.7615
160,80,2.8999
540,180,2.929
120,190,4.8522
120,230,4.4124
370,170,-2.7103
590,70,5.6025
600,230,5.3208
590,220,4.5665
130,190,5.1405
90,130,7.556
130,230,3.5333
110,180,5.4784
250,80,0.87712
180,200,1.1254
80,170,6.7331
400,220,0.38497
650,80,1.5388
640,210,2.3784
440,50,0.089913
170,90,3.2716
60,50,5.4776
240,120,-1.4971
640,150,4.231
480,110,0.12292
630,190,5.3661
150,120,3.2438
480,150,-0.1521
420,60,-0.46399
230,230,-0.027005
640,230,1.9784
560,230,2.3517
530,150,1.2552
110,170,5.2193
290,90,1.0704
520,120,0.051943
660,80,3.826
620,220,4.8266
370,70,0.46081
200,130,2.2581
220,80,-0.66584
120,200,6.228
470,200,1.4441
160,180,2.9132
440,240,1.2116
500,90,0.29665
360,140,0.40949
660,190,1.3421
140,240,3.3414
440,230,0.92833
420,170,-0.10827
210,170,-0.78928
300,200,-1.3162
250,230,0.99121
640,70,3.2226
450,180,-1.538
410,150,-0.14323
90,90,5.1671
570,220,3.6831
380,120,-1.3964
70,70,3.4568
140,120,4.6818
470,170,-1.0484
510,80,1.0937
260,70,0.30212
580,170,6.8176
360,220,-1.9303
390,180,-1.5576
550,140,6.1824
50,120,2.9717
60,190,6.3394
150,60,2.5223
260,200,0.19369
130,50,3.0641
50,80,3.0882
490,100,-0.18946
70,100,4.6026
350,70,-1.1412
210,210,-0.32506
80,150,4.0314
110,80,5.8878
70,230,1.6532
580,210,6.0458
600,100,5.2448
210,230,2.0574
370,140,2.2224
260,180,2.7566
170,190,1.9039
50,130,4.1864
520,190,1.972
260,130,0.26368
620,200,4.4422
550,130,3.7321
70,240,2.2801
340,180,1.4157
330,170,-0.1614
280,180,0.2876
220,120,0.60299
50,220,2.8916
160,130,3.265
330,160,-1.2002
160,190,2.1562
340,190,-0.95388
140,190,3.3599
