X,Y,Means,Confidence
0.01,0.01,0,1
0.11,0.01,0.14021,0
0.21,0.01,0.19598,0
0.31,0.01,0.14774,0
0.41,0.01,0.058491,0
0.51,0.01,0.021761,0
0.61,0.01,0.074824,0
0.71,0.01,0.16368,0
0.81,0.01,0.19375,0
0.91,0.01,0.11695,0
0.01,0.11,0.14021,0
0.11,0.11,0.33573,0
0.21,0.11,0.41349,0
0.31,0.11,0.34623,0
0.41,0.11,0.22177,0
0.51,0.11,0.17056,0
0.61,0.11,0.24455,0
0.71,0.11,0.36846,0
0.81,0.11,0.41039,0
0.91,0.11,0.3033,0
0.01,0.21,0.19598,0
0.11,0.21,0.41349,0
0.21,0.21,0.5,0
0.31,0.21,0.42517,0
0.41,0.21,0.28672,0
0.51,0.21,0.22973,0
0.61,0.21,0.31205,0
0.71,0.21,0.4499,0
0.81,0.21,0.49655,0
0.91,0.21,0.37741,0
0.01,0.31,0.14774,0
0.11,0.31,0.34623,0
0.21,0.31,0.42517,0
0.31,0.31,0.35689,0
0.41,0.31,0.23055,0
0.51,0.31,0.17855,0
0.61,0.31,0.25367,0
0.71,0.31,0.37946,0
0.81,0.31,0.42202,0
0.91,0.31,0.31331,0
0.01,0.41,0.058491,0
0.11,0.41,0.22177,0
0.21,0.41,0.28672,0
0.31,0.41,0.23055,0
0.41,0.41,0.12661,0
0.51,0.41,0.083833,0
0.61,0.41,0.14563,0
0.71,0.41,0.24911,0
0.81,0.41,0.28412,0
0.91,0.41,0.19469,0
0.01,0.51,0.021761,0
0.11,0.51,0.17056,0
0.21,0.51,0.22973,0
0.31,0.51,0.17855,0
0.41,0.51,0.083833,0
0.51,0.51,0.044855,0
0.61,0.51,0.10117,0
0.71,0.51,0.19546,0
0.81,0.51,0.22737,0
0.91,0.51,0.14587,0
0.01,0.61,0.074824,0
0.11,0.61,0.24455,0
0.21,0.61,0.31205,0
0.31,0.61,0.25367,0
0.41,0.61,0.14563,0
0.51,0.61,0.10117,0
0.61,0.61,0.1654,0
0.71,0.61,0.27296,0
0.81,0.61,0.30936,0
0.91,0.61,0.2164,0
0.01,0.71,0.16368,0
0.11,0.71,0.36846,0
0.21,0.71,0.4499,0
0.31,0.71,0.37946,0
0.41,0.71,0.24911,0
0.51,0.71,0.19546,0
0.61,0.71,0.27296,0
0.71,0.71,0.40273,0
0.81,0.71,0.44665,0
0.91,0.71,0.33449,0
0.01,0.81,0.19375,0
0.11,0.81,0.41039,0
0.21,0.81,0.49655,0
0.31,0.81,0.42202,0
0.41,0.81,0.28412,0
0.51,0.81,0.22737,0
0.61,0.81,0.30936,0
0.71,0.81,0.44665,0
0.81,0.81,0.49311,0
0.91,0.81,0.37445,0
0.01,0.91,0.11695,0
0.11,0.91,0.3033,0
0.21,0.91,0.37741,0
0.31,0.91,0.31331,0
0.41,0.91,0.19469,0
0.51,0.91,0.14587,0
0.61,0.91,0.2164,0
0.71,0.91,0.33449,0
0.81,0.91,0.37445,0
0.91,0.91,0.27239,0
