X,Y,Means,Confidence
0.02,0.02,0.0015274,1
0.02,0.04,0.0030188,0
0.02,0.06,0.0055034,0
0.02,0.08,0.0092588,0
0.02,0.1,0.014377,0
0.02,0.12,0.020608,0
0.02,0.14,0.027267,0
0.02,0.16,0.033304,0
0.02,0.18,0.03755,0
0.02,0.2,0.039083,0
0.02,0.22,0.03755,0
0.02,0.24,0.033304,0
0.02,0.26,0.027267,0
0.02,0.28,0.020608,0
0.02,0.3,0.014378,0
0.02,0.32,0.0092597,0
0.02,0.34,0.0055051,0
0.02,0.36,0.0030212,0
0.02,0.38,0.0015306,0
0.02,0.4,0.00071577,0
0.02,0.42,0.00030899,0
0.02,0.44,0.00012318,0
0.02,0.46,4.5618e-05,0
0.02,0.48,1.672e-05,0
0.02,0.5,9.5854e-06,0
0.02,0.52,1.672e-05,0
0.02,0.54,4.5618e-05,0
0.02,0.56,0.00012318,0
0.02,0.58,0.00030899,0
0.02,0.6,0.00071577,0
0.02,0.62,0.0015306,0
0.02,0.64,0.0030212,0
0.02,0.66,0.0055051,0
0.02,0.68,0.0092597,0
0.02,0.7,0.014378,0
0.02,0.72,0.020608,0
0.02,0.74,0.027267,0
0.02,0.76,0.033304,0
0.02,0.78,0.03755,0
0.02,0.8,0.039083,0
0.02,0.82,0.03755,0
0.02,0.84,0.033304,0
0.02,0.86,0.027267,0
0.02,0.88,0.020608,0
0.02,0.9,0.014377,0
0.02,0.92,0.0092588,0
0.02,0.94,0.0055034,0
0.02,0.96,0.0030188,0
0.02,0.98,0.0015274,0
0.04,0.02,0.0030188,0
0.04,0.04,0.0059663,0
0.04,0.06,0.010877,0
0.04,0.08,0.018299,0
0.04,0.1,0.028415,0
0.04,0.12,0.040729,0
0.04,0.14,0.05389,0
0.04,0.16,0.065821,0
0.04,0.18,0.074213,0
0.04,0.2,0.077242,0
0.04,0.22,0.074213,0
0.04,0.24,0.065821,0
0.04,0.26,0.05389,0
0.04,0.28,0.040729,0
0.04,0.3,0.028416,0
0.04,0.32,0.018301,0
0.04,0.34,0.01088,0
0.04,0.36,0.0059711,0
0.04,0.38,0.003025,0
0.04,0.4,0.0014147,0
0.04,0.42,0.00061074,0
0.04,0.44,0.00024352,0
0.04,0.46,9.0217e-05,0
0.04,0.48,3.3105e-05,0
0.04,0.5,1.9004e-05,0
0.04,0.52,3.3105e-05,0
0.04,0.54,9.0217e-05,0
0.04,0.56,0.00024352,0
0.04,0.58,0.00061074,0
0.04,0.6,0.0014147,0
0.04,0.62,0.003025,0
0.04,0.64,0.0059711,0
0.04,0.66,0.01088,0
0.04,0.68,0.018301,0
0.04,0.7,0.028416,0
0.04,0.72,0.040729,0
0.04,0.74,0.05389,0
0.04,0.76,0.065821,0
0.04,0.78,0.074213,0
0.04,0.8,0.077242,0
0.04,0.82,0.074213,0
0.04,0.84,0.065821,0
0.04,0.86,0.05389,0
0.04,0.88,0.040729,0
0.04,0.9,0.028415,0
0.04,0.92,0.018299,0
0.04,0.94,0.010877,0
0.04,0.96,0.0059663,0
0.04,0.98,0.0030188,0
0.06,0.02,0.0055034,0
0.06,0.04,0.010877,0
0.06,0.06,0.019829,0
0.06,0.08,0.03336,0
0.06,0.1,0.051802,0
0.06,0.12,0.074251,0
0.06,0.14,0.098245,0
0.06,0.16,0.12,0
0.06,0.18,0.1353,0
0.06,0.2,0.14082,0
0.06,0.22,0.1353,0
0.06,0.24,0.12,0
0.06,0.26,0.098245,0
0.06,0.28,0.074252,0
0.06,0.3,0.051804,0
0.06,0.32,0.033363,0
0.06,0.34,0.019835,0
0.06,0.36,0.010886,0
0.06,0.38,0.0055149,0
0.06,0.4,0.0025791,0
0.06,0.42,0.0011135,0
0.06,0.44,0.000444,0
0.06,0.46,0.00016452,0
0.06,0.48,6.0403e-05,0
0.06,0.5,3.4696e-05,0
0.06,0.52,6.0403e-05,0
0.06,0.54,0.00016452,0
0.06,0.56,0.000444,0
0.06,0.58,0.0011135,0
0.06,0.6,0.0025791,0
0.06,0.62,0.0055149,0
0.06,0.64,0.010886,0
0.06,0.66,0.019835,0
0.06,0.68,0.033363,0
0.06,0.7,0.051804,0
0.06,0.72,0.074252,0
0.06,0.74,0.098245,0
0.06,0.76,0.12,0
0.06,0.78,0.1353,0
0.06,0.8,0.14082,0
0.06,0.82,0.1353,0
0.06,0.84,0.12,0
0.06,0.86,0.098245,0
0.06,0.88,0.074251,0
0.06,0.9,0.051802,0
0.06,0.92,0.03336,0
0.06,0.94,0.019829,0
0.06,0.96,0.010877,0
0.06,0.98,0.0055034,0
0.08,0.02,0.0092588,0
0.08,0.04,0.018299,0
0.08,0.06,0.03336,0
0.08,0.08,0.056124,0
0.08,0.1,0.08715,0
0.08,0.12,0.12492,0
0.08,0.14,0.16528,0
0.08,0.16,0.20188,0
0.08,0.18,0.22762,0
0.08,0.2,0.2369,0
0.08,0.22,0.22762,0
0.08,0.24,0.20188,0
0.08,0.26,0.16528,0
0.08,0.28,0.12492,0
0.08,0.3,0.087152,0
0.08,0.32,0.056129,0
0.08,0.34,0.03337,0
0.08,0.36,0.018314,0
0.08,0.38,0.0092781,0
0.08,0.4,0.004339,0
0.08,0.42,0.0018733,0
0.08,0.44,0.00074701,0
0.08,0.46,0.00027683,0
0.08,0.48,0.00010166,0
0.08,0.5,5.8412e-05,0
0.08,0.52,0.00010166,0
0.08,0.54,0.00027683,0
0.08,0.56,0.00074701,0
0.08,0.58,0.0018733,0
0.08,0.6,0.004339,0
0.08,0.62,0.0092781,0
0.08,0.64,0.018314,0
0.08,0.66,0.03337,0
0.08,0.68,0.056129,0
0.08,0.7,0.087152,0
0.08,0.72,0.12492,0
0.08,0.74,0.16528,0
0.08,0.76,0.20188,0
0.08,0.78,0.22762,0
0.08,0.8,0.2369,0
0.08,0.82,0.22762,0
0.08,0.84,0.20188,0
0.08,0.86,0.16528,0
0.08,0.88,0.12492,0
0.08,0.9,0.08715,0
0.08,0.92,0.056124,0
0.08,0.94,0.03336,0
0.08,0.96,0.018299,0
0.08,0.98,0.0092588,0
0.1,0.02,0.014377,0
0.1,0.04,0.028415,0
0.1,0.06,0.051802,0
0.1,0.08,0.08715,0
0.1,0.1,0.13533,0
0.1,0.12,0.19397,0
0.1,0.14,0.25665,0
0.1,0.16,0.31348,0
0.1,0.18,0.35344,0
0.1,0.2,0.36787,0
0.1,0.22,0.35344,0
0.1,0.24,0.31348,0
0.1,0.26,0.25665,0
0.1,0.28,0.19397,0
0.1,0.3,0.13533,0
0.1,0.32,0.087158,0
0.1,0.34,0.051817,0
0.1,0.36,0.028438,0
0.1,0.38,0.014407,0
0.1,0.4,0.0067377,0
0.1,0.42,0.0029089,0
0.1,0.44,0.00116,0
0.1,0.46,0.00042989,0
0.1,0.48,0.0001579,0
0.1,0.5,9.0736e-05,0
0.1,0.52,0.0001579,0
0.1,0.54,0.00042989,0
0.1,0.56,0.00116,0
0.1,0.58,0.0029089,0
0.1,0.6,0.0067377,0
0.1,0.62,0.014407,0
0.1,0.64,0.028438,0
0.1,0.66,0.051817,0
0.1,0.68,0.087158,0
0.1,0.7,0.13533,0
0.1,0.72,0.19397,0
0.1,0.74,0.25665,0
0.1,0.76,0.31348,0
0.1,0.78,0.35344,0
0.1,0.8,0.36787,0
0.1,0.82,0.35344,0
0.1,0.84,0.31348,0
0.1,0.86,0.25665,0
0.1,0.88,0.19397,0
0.1,0.9,0.13533,0
0.1,0.92,0.08715,0
0.1,0.94,0.051802,0
0.1,0.96,0.028415,0
0.1,0.98,0.014377,0
0.12,0.02,0.020608,0
0.12,0.04,0.040729,0
0.12,0.06,0.074251,0
0.12,0.08,0.12492,0
0.12,0.1,0.19397,0
0.12,0.12,0.27803,0
0.12,0.14,0.36788,0
0.12,0.16,0.44932,0
0.12,0.18,0.50661,0
0.12,0.2,0.52729,0
0.12,0.22,0.50661,0
0.12,0.24,0.44933,0
0.12,0.26,0.36788,0
0.12,0.28,0.27803,0
0.12,0.3,0.19398,0
0.12,0.32,0.12493,0
0.12,0.34,0.074273,0
0.12,0.36,0.040762,0
0.12,0.38,0.020651,0
0.12,0.4,0.0096576,0
0.12,0.42,0.0041695,0
0.12,0.44,0.0016627,0
0.12,0.46,0.00061622,0
0.12,0.48,0.00022635,0
0.12,0.5,0.00013008,0
0.12,0.52,0.00022635,0
0.12,0.54,0.00061622,0
0.12,0.56,0.0016627,0
0.12,0.58,0.0041695,0
0.12,0.6,0.0096576,0
0.12,0.62,0.020651,0
0.12,0.64,0.040762,0
0.12,0.66,0.074273,0
0.12,0.68,0.12493,0
0.12,0.7,0.19398,0
0.12,0.72,0.27803,0
0.12,0.74,0.36788,0
0.12,0.76,0.44933,0
0.12,0.78,0.50661,0
0.12,0.8,0.52729,0
0.12,0.82,0.50661,0
0.12,0.84,0.44932,0
0.12,0.86,0.36788,0
0.12,0.88,0.27803,0
0.12,0.9,0.19397,0
0.12,0.92,0.12492,0
0.12,0.94,0.074251,0
0.12,0.96,0.040729,0
0.12,0.98,0.020608,0
0.14,0.02,0.027267,0
0.14,0.04,0.05389,0
0.14,0.06,0.098245,0
0.14,0.08,0.16528,0
0.14,0.1,0.25665,0
0.14,0.12,0.36788,0
0.14,0.14,0.48675,0
0.14,0.16,0.59452,0
0.14,0.18,0.67032,0
0.14,0.2,0.69767,0
0.14,0.22,0.67032,0
0.14,0.24,0.59452,0
0.14,0.26,0.48675,0
0.14,0.28,0.36788,0
0.14,0.3,0.25666,0
0.14,0.32,0.1653,0
0.14,0.34,0.098273,0
0.14,0.36,0.053934,0
0.14,0.38,0.027324,0
0.14,0.4,0.012778,0
0.14,0.42,0.0055169,0
0.14,0.44,0.0022,0
0.14,0.46,0.00081536,0
0.14,0.48,0.00029951,0
0.14,0.5,0.00017214,0
0.14,0.52,0.00029951,0
0.14,0.54,0.00081536,0
0.14,0.56,0.0022,0
0.14,0.58,0.0055169,0
0.14,0.6,0.012778,0
0.14,0.62,0.027324,0
0.14,0.64,0.053934,0
0.14,0.66,0.098273,0
