X,Y,Means,Confidence
0.8,0.28,0.52729,0
0.96,0.36,0.0059727,0
0.8,0.07,0.1845,0
0.7,0.28,0.19398,0
0.33,0.87,0.11304,0
0.54,0.06,0.00016454,0
0.93,0.27,0.11303,0
0.59,0.07,0.0022426,0
0.72,0.87,0.32303,0
0.55,0.09,0.000577,0
0.92,0.69,0.070647,0
0.62,0.38,0.0015338,0
0.41,0.99,0.00032802,0
0.75,0.79,0.77105,0
0.58,0.26,0.0055169,0
0.71,0.44,0.0014028,0
0.14,0.89,0.31036,0
0.69,0.98,0.011662,0
0.16,0.52,0.00036583,0
0.64,0.51,2.2333e-05,0
0.39,0.61,0.00073174,0
0.27,0.72,0.32303,0
0.66,0.71,0.062662,0
0.24,0.07,0.15722,0
0.72,0.31,0.15724,0
0.88,0.45,0.0010204,0
0.79,0.01,0.026722,0
0.53,0.18,0.00067343,0
0.49,0.12,0.00015269,0
0.69,0.74,0.20805,0
0.32,0.03,0.013156,0
0.81,0.14,0.69073,0
0.89,0.4,0.0081478,0
0.29,0.29,0.1979,0
0.82,0.88,0.50661,0
0.54,0.34,0.00016457,0
0.19,0.44,0.003122,0
0.88,0.01,0.014232,0
0.17,0.81,0.90484,0
0.83,0.07,0.16862,0
0.56,0.11,0.0014028,0
0.24,0.2,0.85214,0
0.07,0.93,0.03404,0
0.57,0.24,0.0042972,0
0.25,0.38,0.030501,0
0.58,0.55,1.5242e-05,0
0.63,0.34,0.0078283,0
0.32,0.24,0.2019,0
0.2,0.61,0.027052,0
0.27,0.29,0.27253,0
0.98,0.87,0.023958,0
0.57,0.32,0.0011947,0
0.25,0.98,0.030457,0
0.87,0.93,0.11303,0
0.12,0.36,0.040762,0
0.42,0.5,1.8908e-06,0
0.23,0.35,0.096328,0
0.42,0.32,0.0018735,0
0.57,0.79,0.0049927,0
0.89,0.57,0.0022433,0
0.9,0.87,0.22537,0
0.64,0.31,0.023052,0
0.11,0.64,0.034389,0
0.02,0.57,0.00019715,0
0.95,0.83,0.096296,0
0.58,0.99,0.00021337,0
0.46,0.53,7.5835e-07,0
0.9,0.44,0.00116,0
0.96,0.76,0.065838,0
0.21,0.24,0.84366,0
0.9,0.95,0.038761,0
0.06,0.34,0.019837,0
0.03,0.71,0.024701,0
0.35,0.13,0.06457,0
0.94,0.07,0.025983,0
0.68,0.83,0.21654,0
0.14,0.79,0.69073,0
0.09,0.42,0.0023579,0
0.2,0.35,0.1054,0
0.42,0.69,0.002358,0
0.53,0.78,0.00067343,0
0.55,0.41,2.3463e-05,0
0.91,0.94,0.041994,0
0.98,0.89,0.017397,0
0.01,0.04,0.0020853,0
