X,Y,Means,Confidence
0.02,0.02,0.12228,1
0.22,0.02,0.17825,0
0.42,0.02,0.10128,0
0.62,0.02,0.022358,0
0.82,0.02,0.0018075,0
0.02,0.22,0.25973,0
0.22,0.22,0.37855,0
0.42,0.22,0.21516,0
0.62,0.22,0.047619,0
0.82,0.22,0.0039938,0
0.02,0.42,0.3353,0
0.22,0.42,0.48867,0
0.42,0.42,0.27777,0
0.62,0.42,0.061506,0
0.82,0.42,0.0051957,0
0.02,0.62,0.32737,0
0.22,0.62,0.47711,0
0.42,0.62,0.2712,0
0.62,0.62,0.060049,0
0.82,0.62,0.0050696,0
0.02,0.82,0.23446,0
0.22,0.82,0.34173,0
0.42,0.82,0.19423,0
0.62,0.82,0.042975,0
0.82,0.82,0.0035919,0
