X,Y,Means,Confidence
0.02,0.02,0,1
0.22,0.02,0.20129,0
0.42,0.02,0.039562,0
0.62,0.02,0.07598,0
0.82,0.02,0.19626,0
0.02,0.22,0.20129,0
0.22,0.22,0.49989,0
0.42,0.22,0.25998,0
0.62,0.22,0.314,0
0.82,0.22,0.49244,0
0.02,0.42,0.039562,0
0.22,0.42,0.25998,0
0.42,0.42,0.082883,0
0.62,0.42,0.12276,0
0.82,0.42,0.25447,0
0.02,0.62,0.07598,0
0.22,0.62,0.314,0
0.42,0.62,0.12276,0
0.62,0.62,0.16583,0
0.82,0.62,0.30806,0
0.02,0.82,0.19626,0
0.22,0.82,0.49244,0
0.42,0.82,0.25447,0
0.62,0.82,0.30806,0
0.82,0.82,0.48505,0
