X,Y,Means,Confidence
0.8,0.28,0.46006,0
0.96,0.36,0.16247,0
0.8,0.07,0.33596,0
0.7,0.28,0.40166,0
0.33,0.87,0.34846,0
0.54,0.06,0.11194,0
0.93,0.27,0.31295,0
0.59,0.07,0.16409,0
0.72,0.87,0.40747,0
0.55,0.09,0.1613,0
0.92,0.69,0.29519,0
0.62,0.38,0.18694,0
0.41,0.99,0.058491,0
0.75,0.79,0.48654,0
0.58,0.26,0.26006,0
0.71,0.44,0.21993,0
0.14,0.89,0.37487,0
0.69,0.98,0.17021,0
0.16,0.52,0.21696,0
0.64,0.51,0.13005,0
0.39,0.61,0.1654,0
0.27,0.72,0.43291,0
0.66,0.71,0.34011,0
0.24,0.07,0.33042,0
0.72,0.31,0.38946,0
0.88,0.45,0.19804,0
0.79,0.01,0.19598,0
0.53,0.18,0.2304,0
0.49,0.12,0.18151,0
0.69,0.74,0.40629,0
0.32,0.03,0.18295,0
0.81,0.14,0.45375,0
0.89,0.4,0.23282,0
0.29,0.29,0.40273,0
0.82,0.88,0.42231,0
0.54,0.34,0.15976,0
0.19,0.44,0.25326,0
0.88,0.01,0.15054,0
0.17,0.81,0.48259,0
0.83,0.07,0.32531,0
0.56,0.11,0.19392,0
0.24,0.2,0.49147,0
0.07,0.93,0.20449,0
0.57,0.24,0.25938,0
0.25,0.38,0.315,0
0.58,0.55,0.089319,0
0.63,0.34,0.24505,0
0.32,0.24,0.40481,0
0.2,0.61,0.3114,0
0.27,0.29,0.42232,0
0.98,0.87,0.18292,0
0.57,0.32,0.20093,0
0.25,0.98,0.21153,0
0.87,0.93,0.29138,0
0.12,0.36,0.29579,0
0.42,0.5,0.075475,0
0.23,0.35,0.36589,0
0.42,0.32,0.21022,0
0.57,0.79,0.26496,0
0.89,0.57,0.20222,0
0.9,0.87,0.34693,0
0.64,0.31,0.29219,0
0.11,0.64,0.2825,0
0.02,0.57,0.062323,0
0.95,0.83,0.28154,0
0.58,0.99,0.051149,0
0.46,0.53,0.056865,0
0.9,0.44,0.18149,0
0.96,0.76,0.2632,0
0.21,0.24,0.49231,0
0.9,0.95,0.21349,0
0.06,0.34,0.22343,0
0.03,0.71,0.20976,0
0.35,0.13,0.32146,0
0.94,0.07,0.18681,0
0.68,0.83,0.39914,0
0.14,0.79,0.45703,0
0.09,0.42,0.18493,0
0.2,0.35,0.36812,0
0.42,0.69,0.22015,0
0.53,0.78,0.23521,0
0.55,0.41,0.097351,0
0.91,0.94,0.21875,0
0.98,0.89,0.16234,0
0.01,0.04,0.04695,0
0.15,0.53,0.21397,0
0.6,0.31,0.24176,0
0.05,0.41,0.13069,0
0.74,0.64,0.3371,0
0.87,0.76,0.43686,0
0.06,0.29,0.27555,0
0.75,0.52,0.22278,0
0.05,0.94,0.15195,0
0.27,0.07,0.31295,0
0.97,0.04,0.082665,0
0.08,0.13,0.31092,0
0.66,0.68,0.30712,0
0.69,0.4,0.24176,0
0.07,0.53,0.12292,0
0.91,0.95,0.19934,0
0.56,0.31,0.20227,0
0.43,0.93,0.14649,0
0.75,0.07,0.32576,0
0.04,0.86,0.23745,0
0.74,0.96,0.25371,0
0.94,0.99,0.076597,0
0.58,0.21,0.27532,0
0.71,0.59,0.24911,0
0.62,0.71,0.28582,0
0.14,0.61,0.27852,0
0.2,0.15,0.46757,0
0.75,0.33,0.38587,0
0.28,0.76,0.45352,0
0.75,0.27,0.4577,0
0.24,0.47,0.23051,0
0.58,0.4,0.12712,0
0.61,0.03,0.11301,0
0.92,0.38,0.21229,0
0.28,0.64,0.3218,0
0.96,0.85,0.24574,0
0.14,0.37,0.30492,0
0.32,0.42,0.21022,0
0.93,0.33,0.2539,0
0.52,0.94,0.10485,0
0.13,0.3,0.38606,0
0.9,0.94,0.23339,0
0.35,0.54,0.14962,0
0.8,0.27,0.46989,0
0.61,0.59,0.14563,0
0.49,0.53,0.049022,0
0.3,0.07,0.28645,0
0.51,0.97,0.055241,0
0.94,0.85,0.29003,0
0.14,0.58,0.24364,0
0.19,0.22,0.49566,0
0.13,0.87,0.39176,0
0.02,0.49,0.038604,0
0.96,0.52,0.07326,0
0.56,0.41,0.10335,0
0.02,0.81,0.21827,0
0.21,0.13,0.44405,0
0.59,0.34,0.19917,0
0.02,0.25,0.21153,0
0.4,0.37,0.17648,0
0.27,0.23,0.46735,0
0.79,0.14,0.45703,0
0.29,0.49,0.19546,0
0.06,0.93,0.18681,0
0.83,0.63,0.32845,0
0.69,0.54,0.1889,0
0.02,0.54,0.046246,0
0.95,0.07,0.16849,0
0.42,0.6,0.12712,0
0.67,0.26,0.3795,0
0.49,0.88,0.18151,0
0.4,0.1,0.21951,0
0.3,0.93,0.28645,0
0.11,0.22,0.41269,0
0.03,0.8,0.24433,0
0.07,0.59,0.16409,0
0.18,0.44,0.25012,0
0.94,0.95,0.15195,0
0.56,0.07,0.13902,0
0.55,0.73,0.22708,0
0.68,0.21,0.41171,0
0.03,0.13,0.20565,0
0.4,0.28,0.26906,0
0.62,0.55,0.12485,0
0.84,0.83,0.4644,0
0.92,0.82,0.35102,0
0.24,0.74,0.4718,0
0.42,0.29,0.23838,0
0.86,0.15,0.427,0
0.13,0.96,0.22798,0
0.54,0.35,0.14962,0
0.74,0.79,0.4793,0
0.6,0.82,0.293,0
0.02,0.84,0.20582,0
0.57,0.83,0.25479,0
0.32,0.21,0.41171,0
0.73,0.77,0.46735,0
0.02,0.96,0.064918,0
0.68,0.23,0.40859,0
0.42,0.01,0.051149,0
0.14,0.51,0.20034,0
0.77,0.45,0.24529,0
0.45,0.34,0.16551,0
0.33,0.34,0.29505,0
0.8,0.92,0.35685,0
0.43,0.38,0.13856,0
0.1,0.15,0.36832,0
0.58,0.62,0.14681,0
0.41,0.41,0.12661,0
0.13,0.51,0.19146,0
0.67,0.38,0.24428,0
0.75,0.34,0.37175,0
0.62,0.1,0.24298,0
0.18,0.07,0.3303,0
0.88,0.71,0.38353,0
0.89,0.69,0.34623,0
0.69,0.5,0.17785,0
0.38,0.63,0.19819,0
0.02,0.38,0.10324,0
0.59,0.75,0.27661,0
0.35,0.43,0.16983,0
0.68,0.96,0.20438,0
0.26,0.77,0.47591,0
0.39,0.4,0.15522,0
0.13,0.02,0.18292,0
0.02,0.91,0.13805,0
0.94,0.51,0.10305,0
0.55,0.54,0.065174,0
0.03,0.59,0.095231,0
0.36,0.37,0.2214,0
0.35,0.21,0.36884,0
0.18,0.22,0.49127,0
0.1,0.73,0.37035,0
0.93,0.02,0.1106,0
0.49,0.15,0.20811,0
0.11,0.13,0.3632,0
0.75,0.63,0.3289,0
0.8,0.9,0.39535,0
0.84,0.36,0.33606,0
0.86,0.49,0.20034,0
0.21,0.95,0.29215,0
0.91,0.64,0.25256,0
0.8,0.93,0.33596,0
0.21,0.8,0.49916,0
0.96,0.99,0.04695,0
0.99,0.73,0.17709,0
0.92,0.56,0.15396,0
0.62,0.74,0.30924,0
0.37,0.64,0.2214,0
0.8,0.67,0.39698,0
0.62,0.07,0.19564,0
0.01,0.29,0.16368,0
0.07,0.57,0.14649,0
0.49,0.66,0.14996,0
0.01,0.02,0.015871,0
0.9,0.63,0.25539,0
0.17,0.37,0.32845,0
0.56,0.54,0.070744,0
0.84,0.63,0.322,0
0.45,0.54,0.065174,0
0.51,0.06,0.10305,0
