X,Y,Means,Confidence
220,120,0.49558,0
470,230,0.51241,0
320,200,0.29032,0
210,200,0.51836,0
430,150,0.74448,0
470,70,0.67526,0
420,140,0.68577,0
170,230,0.54778,0
460,160,0.87801,0
70,70,0.067208,0
540,140,0.99593,0
300,200,0.28979,0
120,180,0.5966,0
180,240,0.43484,0
80,60,0.056747,0
300,110,0.6438,0
130,190,0.64586,0
400,160,0.59529,0
210,110,0.46288,0
640,210,0.37838,0
610,70,0.46419,0
110,130,0.34819,0
380,220,0.34471,0
400,210,0.46597,0
180,50,0.19143,0
620,200,0.53668,0
170,180,0.62423,0
610,210,0.51291,0
540,190,0.78103,0
150,100,0.28321,0
360,120,0.54102,0
400,170,0.58465,0
630,220,0.37161,0
630,200,0.48593,0
150,180,0.6399,0
540,150,0.98157,0
180,200,0.63463,0
260,130,0.5546,0
450,120,0.78903,0
210,140,0.48461,0
570,150,0.94088,0
460,140,0.87453,0
620,150,0.71445,0
60,180,0.36219,0
430,130,0.71806,0
530,230,0.47593,0
50,230,0.20715,0
170,170,0.58989,0
240,120,0.54541,0
580,150,0.91441,0
260,170,0.42194,0
650,160,0.46061,0
240,130,0.52692,0
570,240,0.36133,0
70,130,0.27035,0
410,60,0.45226,0
260,120,0.58648,0
390,150,0.55957,0
370,80,0.5334,0
640,120,0.51478,0
380,60,0.44634,0
240,150,0.48612,0
90,90,0.1531,0
580,190,0.73131,0
650,50,0.17993,0
610,110,0.69834,0
500,140,0.98388,0
530,220,0.55828,0
580,50,0.42048,0
100,100,0.2025,0
620,170,0.67688,0
550,50,0.49538,0
590,110,0.80903,0
110,220,0.54263,0
510,160,0.96099,0
530,180,0.85676,0
660,100,0.29641,0
430,230,0.45066,0
520,220,0.56907,0
140,190,0.66233,0
360,230,0.25038,0
350,240,0.19756,0
390,60,0.44061,0
540,220,0.54819,0
380,120,0.54651,0
340,160,0.43274,0
100,190,0.55531,0
260,100,0.62969,0
630,100,0.51784,0
110,60,0.094414,0
270,80,0.64667,0
280,160,0.44122,0
140,240,0.45381,0
490,90,0.83098,0
510,70,0.73517,0
310,220,0.22897,0
590,230,0.41251,0
120,150,0.46613,0
610,200,0.57903,0
50,220,0.24193,0
560,90,0.80617,0
510,190,0.80895,0
280,110,0.64257,0
320,240,0.17355,0
450,160,0.83951,0
360,240,0.21239,0
290,50,0.47308,0
430,170,0.73694,0
300,240,0.17428,0
440,50,0.44911,0
160,150,0.50824,0
380,190,0.45133,0
500,80,0.7968,0
420,160,0.69459,0
510,150,0.98517,0
60,200,0.35826,0
630,160,0.63114,0
80,110,0.21169,0
290,140,0.52372,0
620,90,0.53321,0
350,70,0.54928,0
400,230,0.36018,0
540,120,0.97607,0
130,60,0.12328,0
190,140,0.4752,0
610,120,0.73788,0
260,90,0.6335,0
200,230,0.46038,0
580,110,0.85207,0
370,180,0.44018,0
600,150,0.83408,0
330,230,0.20788,0
510,110,0.9425,0
150,150,0.50399,0
170,70,0.23588,0
580,90,0.74004,0
290,160,0.4362,0
560,120,0.94849,0
90,110,0.2276,0
50,50,0,1
470,180,0.85363,0
190,220,0.55642,0
400,220,0.41658,0
190,180,0.57816,0
310,150,0.47006,0
110,110,0.25684,0
430,100,0.64664,0
180,70,0.26547,0
440,200,0.68042,0
140,60,0.13979,0
430,90,0.61846,0
200,120,0.44792,0
420,70,0.51852,0
570,120,0.92388,0
200,100,0.4156,0
480,60,0.62445,0
420,210,0.55058,0
620,130,0.6977,0
390,100,0.54768,0
460,60,0.57743,0
620,210,0.47559,0
110,180,0.56896,0
130,120,0.33145,0
290,180,0.36015,0
330,150,0.46388,0
390,140,0.56339,0
470,50,0.51494,0
300,220,0.23131,0
440,90,0.65643,0
60,170,0.34957,0
650,70,0.25923,0
620,110,0.63231,0
280,180,0.3684,0
220,110,0.49505,0
130,140,0.43033,0
60,70,0.052215,0
60,120,0.20025,0
650,230,0.22931,0
550,110,0.93207,0
310,70,0.6337,0
490,180,0.87431,0
390,170,0.53835,0
640,190,0.46931,0
380,130,0.54246,0
320,220,0.2311,0
490,70,0.71981,0
90,140,0.36055,0
120,190,0.621,0
400,90,0.54249,0
400,140,0.59836,0
590,200,0.6402,0
590,130,0.8748,0
370,150,0.50058,0
210,190,0.52139,0
240,160,0.46703,0
170,110,0.35797,0
310,180,0.35272,0
410,190,0.59015,0
150,200,0.68183,0
60,90,0.1034,0
590,160,0.8568,0
590,70,0.55396,0
470,220,0.59936,0
480,120,0.90834,0
390,80,0.51507,0
410,200,0.55407,0
500,50,0.5473,0
470,140,0.91221,0
480,170,0.90682,0
460,70,0.64457,0
540,160,0.95108,0
470,160,0.90914,0
310,140,0.51367,0
90,70,0.093614,0
90,60,0.068974,0
160,100,0.30365,0
380,90,0.53672,0
570,90,0.77642,0
130,240,0.43805,0
250,70,0.54584,0
550,80,0.76278,0
300,140,0.5196,0
660,210,0.25566,0
580,160,0.88901,0
420,230,0.42269,0
600,120,0.79769,0
250,100,0.6005,0
510,210,0.66167,0
650,120,0.4289,0
520,200,0.72798,0
70,200,0.42165,0
190,150,0.50169,0
500,160,0.95732,0
590,140,0.88517,0
130,70,0.15041,0
110,70,0.1201,0
590,90,0.69702,0
190,130,0.4503,0
440,170,0.78436,0
430,160,0.74579,0
660,110,0.32122,0
160,130,0.41733,0
510,180,0.87107,0
410,120,0.61578,0
460,80,0.69595,0
510,90,0.85894,0
210,130,0.47773,0
610,50,0.32422,0
50,80,0.056698,0
640,240,0.21781,0
630,210,0.43083,0
230,90,0.52074,0
120,70,0.13461,0
540,170,0.90588,0
150,230,0.56241,0
200,170,0.53302,0
130,170,0.58019,0
510,120,0.97143,0
470,60,0.60331,0
260,160,0.45241,0
370,190,0.41401,0
390,200,0.46245,0
270,230,0.23532,0
170,100,0.32666,0
410,150,0.64488,0
480,100,0.84479,0
560,100,0.86495,0
610,100,0.64921,0
120,210,0.61704,0
350,140,0.4978,0
160,240,0.46097,0
500,120,0.95735,0
480,90,0.80568,0
310,60,0.56791,0
80,190,0.47692,0
300,180,0.35486,0
50,240,0.1657,0
400,110,0.57343,0
610,240,0.2999,0
210,70,0.37719,0
220,210,0.45951,0
240,180,0.43364,0
250,160,0.45908,0
290,80,0.67568,0
470,210,0.67831,0
230,190,0.44921,0
330,220,0.23779,0
550,60,0.59451,0
350,170,0.4153,0
560,190,0.76102,0
350,80,0.57792,0
350,120,0.54807,0
290,220,0.2382,0
600,140,0.83731,0
140,140,0.44354,0
220,190,0.48417,0
130,150,0.48255,0
410,110,0.59945,0
60,80,0.076332,0
410,50,0.39467,0
400,100,0.55972,0
570,210,0.59862,0
280,130,0.56825,0
430,180,0.71696,0
630,230,0.31,0
90,230,0.40184,0
250,50,0.39947,0
50,200,0.28329,0
60,110,0.16587,0
390,190,0.49414,0
