X,Y,Means,Confidence
220,120,0.57976,0
470,230,0.62723,0
320,200,0.50771,0
210,200,0.52579,0
430,150,0.87122,0
470,70,0.77146,0
420,140,0.85454,0
170,230,0.43092,0
460,160,0.92464,0
70,70,0.10299,0
540,140,0.97163,0
300,200,0.49909,0
120,180,0.46105,0
180,240,0.3957,0
80,60,0.098588,0
300,110,0.63023,0
130,190,0.47652,0
400,160,0.77634,0
210,110,0.54929,0
640,210,0.41471,0
610,70,0.54095,0
110,130,0.38806,0
380,220,0.50082,0
400,210,0.59313,0
180,50,0.29007,0
620,200,0.54657,0
170,180,0.54964,0
610,210,0.55132,0
540,190,0.85777,0
150,100,0.41378,0
360,120,0.71656,0
400,170,0.75156,0
630,220,0.42184,0
630,200,0.4984,0
150,180,0.52328,0
540,150,0.96673,0
180,200,0.52283,0
260,130,0.61831,0
450,120,0.91601,0
210,140,0.5931,0
570,150,0.88782,0
460,140,0.94823,0
620,150,0.65932,0
60,180,0.26891,0
430,130,0.87992,0
530,230,0.6505,0
50,230,0.18392,0
170,170,0.55753,0
240,120,0.59698,0
580,150,0.8507,0
260,170,0.58643,0
650,160,0.48071,0
240,130,0.607,0
570,240,0.5246,0
70,130,0.25716,0
410,60,0.63201,0
260,120,0.61115,0
390,150,0.76917,0
370,80,0.65084,0
640,120,0.53386,0
380,60,0.58661,0
240,150,0.60912,0
90,90,0.21971,0
580,190,0.7539,0
650,50,0.28001,0
610,110,0.67924,0
500,140,0.99853,0
530,220,0.71233,0
580,50,0.55023,0
100,100,0.27975,0
620,170,0.63304,0
550,50,0.62465,0
590,110,0.7735,0
110,220,0.37959,0
510,160,0.9791,0
530,180,0.91094,0
660,100,0.38519,0
430,230,0.55392,0
520,220,0.7187,0
140,190,0.49609,0
360,230,0.41706,0
350,240,0.3549,0
390,60,0.60118,0
540,220,0.70138,0
380,120,0.75562,0
340,160,0.65294,0
100,190,0.40001,0
260,100,0.57906,0
630,100,0.54984,0
110,60,0.17322,0
270,80,0.53577,0
280,160,0.60664,0
140,240,0.37375,0
490,90,0.88506,0
510,70,0.78904,0
310,220,0.41979,0
590,230,0.52733,0
120,150,0.45002,0
610,200,0.59259,0
50,220,0.20049,0
560,90,0.81381,0
510,190,0.88095,0
280,110,0.61357,0
320,240,0.33225,0
450,160,0.90311,0
360,240,0.36725,0
290,50,0.44563,0
430,170,0.8295,0
300,240,0.32941,0
440,50,0.62276,0
160,150,0.5398,0
380,190,0.63573,0
500,80,0.84267,0
420,160,0.82834,0
510,150,0.9943,0
60,200,0.25949,0
630,160,0.59477,0
80,110,0.24565,0
290,140,0.63334,0
620,90,0.57204,0
350,70,0.587,0
400,230,0.48976,0
540,120,0.95307,0
130,60,0.22169,0
190,140,0.57375,0
610,120,0.69856,0
260,90,0.55474,0
200,230,0.43003,0
580,110,0.81471,0
370,180,0.65067,0
600,150,0.76249,0
330,230,0.38441,0
510,110,0.95982,0
150,150,0.52125,0
170,70,0.35071,0
580,90,0.74902,0
290,160,0.60983,0
560,120,0.90544,0
90,110,0.27752,0
50,50,0,1
470,180,0.88558,0
190,220,0.46781,0
400,220,0.54271,0
190,180,0.56474,0
310,150,0.63738,0
110,110,0.33853,0
430,100,0.82994,0
180,70,0.37098,0
440,200,0.73752,0
140,60,0.24513,0
430,90,0.79768,0
200,120,0.55744,0
420,70,0.69641,0
570,120,0.87342,0
200,100,0.50981,0
480,60,0.72434,0
420,210,0.64047,0
620,130,0.65738,0
390,100,0.7448,0
460,60,0.70521,0
620,210,0.50763,0
110,180,0.43447,0
130,120,0.42132,0
290,180,0.56349,0
330,150,0.6575,0
390,140,0.77956,0
470,50,0.65638,0
300,220,0.41825,0
440,90,0.81709,0
60,170,0.26738,0
650,70,0.3533,0
620,110,0.62737,0
280,180,0.56249,0
220,110,0.56113,0
130,140,0.46272,0
60,70,0.076648,0
60,120,0.20263,0
650,230,0.29518,0
550,110,0.90919,0
310,70,0.5425,0
490,180,0.91235,0
390,170,0.72665,0
640,190,0.47866,0
380,130,0.75981,0
320,220,0.42379,0
490,70,0.78715,0
90,140,0.34353,0
120,190,0.45387,0
400,90,0.73728,0
400,140,0.80389,0
590,200,0.67584,0
590,130,0.80744,0
370,150,0.72391,0
210,190,0.55073,0
240,160,0.60119,0
170,110,0.48615,0
310,180,0.571,0
410,190,0.70779,0
150,200,0.49621,0
60,90,0.13067,0
590,160,0.79703,0
590,70,0.62251,0
470,220,0.68801,0
480,120,0.96626,0
390,80,0.68443,0
410,200,0.66448,0
500,50,0.67038,0
470,140,0.96642,0
480,170,0.93401,0
460,70,0.75956,0
540,160,0.95248,0
470,160,0.9434,0
310,140,0.64768,0
90,70,0.15611,0
90,60,0.12353,0
160,100,0.43625,0
380,90,0.69926,0
570,90,0.78375,0
130,240,0.3607,0
250,70,0.48032,0
550,80,0.79313,0
300,140,0.6398,0
660,210,0.31834,0
580,160,0.83837,0
420,230,0.53254,0
600,120,0.74832,0
250,100,0.56984,0
510,210,0.77929,0
650,120,0.47617,0
520,200,0.83083,0
70,200,0.29446,0
190,150,0.5803,0
500,160,0.97711,0
590,140,0.81226,0
130,70,0.25926,0
110,70,0.20863,0
590,90,0.71,0
190,130,0.5615,0
440,170,0.85462,0
430,160,0.85431,0
660,110,0.40411,0
160,130,0.5128,0
510,180,0.92179,0
410,120,0.82387,0
460,80,0.80874,0
510,90,0.88877,0
210,130,0.58405,0
610,50,0.44593,0
50,80,0.076139,0
640,240,0.29581,0
630,210,0.4619,0
230,90,0.52184,0
120,70,0.23425,0
540,170,0.92918,0
150,230,0.41788,0
200,170,0.58135,0
130,170,0.48751,0
510,120,0.98257,0
470,60,0.71596,0
260,160,0.60324,0
370,190,0.6147,0
390,200,0.61661,0
270,230,0.38415,0
170,100,0.45709,0
410,150,0.81952,0
480,100,0.91507,0
560,100,0.85212,0
610,100,0.65318,0
120,210,0.42378,0
350,140,0.69767,0
160,240,0.39058,0
500,120,0.98176,0
480,90,0.87718,0
310,60,0.50549,0
80,190,0.33651,0
300,180,0.56623,0
50,240,0.16449,0
400,110,0.78665,0
610,240,0.40734,0
210,70,0.42471,0
220,210,0.49224,0
240,180,0.5682,0
250,160,0.60225,0
290,80,0.55534,0
470,210,0.7453,0
230,190,0.54698,0
330,220,0.43036,0
550,60,0.68488,0
350,170,0.64407,0
560,190,0.81592,0
350,80,0.62154,0
350,120,0.69958,0
290,220,0.41894,0
600,140,0.76569,0
140,140,0.48722,0
220,190,0.54944,0
130,150,0.4763,0
410,110,0.80922,0
60,80,0.10394,0
410,50,0.58085,0
400,100,0.76552,0
570,210,0.69496,0
280,130,0.62945,0
430,180,0.79732,0
630,230,0.37905,0
90,230,0.3053,0
250,50,0.40186,0
50,200,0.22363,0
60,110,0.18051,0
390,190,0.65854,0
