X,Y,Means,Confidence
50,50,0.32979,1
50,60,0.37446,0
50,70,0.40552,0
50,80,0.42192,0
50,90,0.42687,0
50,100,0.42445,0
50,110,0.41761,0
50,120,0.40818,0
50,130,0.39733,0
50,140,0.38579,0
50,150,0.37403,0
50,160,0.36221,0
50,170,0.3502,0
50,180,0.33773,0
50,190,0.32434,0
50,200,0.3094,0
50,210,0.29197,0
50,220,0.27089,0
50,230,0.24538,0
50,240,0.2162,0
60,50,0.38397,0
60,60,0.44053,0
60,70,0.47902,0
60,80,0.4981,0
60,90,0.50221,0
60,100,0.49683,0
60,110,0.48602,0
60,120,0.47222,0
60,130,0.45701,0
60,140,0.44142,0
60,150,0.42608,0
60,160,0.41124,0
60,170,0.3968,0
60,180,0.38237,0
60,190,0.36735,0
60,200,0.35086,0
60,210,0.33158,0
60,220,0.3078,0
60,230,0.27833,0
60,240,0.244,0
70,50,0.42985,0
70,60,0.496,0
70,70,0.54041,0
70,80,0.56149,0
70,90,0.56467,0
70,100,0.55662,0
70,110,0.54222,0
70,120,0.52447,0
70,130,0.50525,0
70,140,0.48586,0
70,150,0.46712,0
70,160,0.44941,0
70,170,0.43269,0
70,180,0.41658,0
70,190,0.40037,0
70,200,0.383,0
70,210,0.36279,0
70,220,0.33756,0
70,230,0.30565,0
70,240,0.26782,0
80,50,0.46519,0
80,60,0.53819,0
80,70,0.5868,0
80,80,0.6093,0
80,90,0.61179,0
80,100,0.60174,0
80,110,0.58461,0
80,120,0.56374,0
80,130,0.54128,0
80,140,0.51873,0
80,150,0.4971,0
80,160,0.47693,0
80,170,0.45831,0
80,180,0.4409,0
80,190,0.42401,0
80,200,0.40641,0
80,210,0.38615,0
80,220,0.36061,0
80,230,0.32765,0
80,240,0.28786,0
90,50,0.49096,0
90,60,0.56844,0
90,70,0.61994,0
90,80,0.64361,0
90,90,0.6459,0
90,100,0.63476,0
90,110,0.61594,0
90,120,0.59301,0
90,130,0.56827,0
90,140,0.54338,0
90,150,0.51955,0
90,160,0.49749,0
90,170,0.47744,0
90,180,0.45918,0
90,190,0.44203,0
90,200,0.4247,0
90,210,0.40497,0
90,220,0.3798,0
90,230,0.34662,0
90,240,0.30575,0
100,50,0.50861,0
100,60,0.58876,0
100,70,0.64222,0
100,80,0.66705,0
100,90,0.66981,0
100,100,0.65856,0
100,110,0.6392,0
100,120,0.61533,0
100,130,0.58936,0
100,140,0.5631,0
100,150,0.53788,0
100,160,0.5146,0
100,170,0.49368,0
100,180,0.47501,0
100,190,0.45798,0
100,200,0.44121,0
100,210,0.42227,0
100,220,0.39775,0
100,230,0.36462,0
100,240,0.32297,0
110,50,0.51888,0
110,60,0.60009,0
110,70,0.65477,0
110,80,0.68084,0
110,90,0.68475,0
110,100,0.67444,0
110,110,0.65568,0
110,120,0.63206,0
110,130,0.60602,0
110,140,0.57942,0
110,150,0.55374,0
110,160,0.53002,0
110,170,0.50884,0
110,180,0.49022,0
110,190,0.4736,0
110,200,0.45756,0
110,210,0.43949,0
110,220,0.41561,0
110,230,0.38252,0
110,240,0.34008,0
120,50,0.52201,0
120,60,0.60275,0
120,70,0.65786,0
120,80,0.68523,0
120,90,0.69093,0
120,100,0.68252,0
120,110,0.66551,0
120,120,0.64335,0
120,130,0.61841,0
120,140,0.59259,0
120,150,0.56744,0
120,160,0.54412,0
120,170,0.52333,0
120,180,0.5052,0
120,190,0.48924,0
120,200,0.47401,0
120,210,0.45674,0
120,220,0.43337,0
120,230,0.40021,0
120,240,0.35693,0
130,50,0.51835,0
130,60,0.59712,0
130,70,0.65189,0
130,80,0.68051,0
130,90,0.68851,0
130,100,0.68287,0
130,110,0.66867,0
130,120,0.64911,0
130,130,0.62643,0
130,140,0.60249,0
130,150,0.57887,0
130,160,0.55678,0
130,170,0.537,0
130,180,0.51978,0
130,190,0.50465,0
130,200,0.4902,0
130,210,0.47358,0
130,220,0.45054,0
130,230,0.41717,0
130,240,0.37306,0
140,50,0.50871,0
140,60,0.58419,0
140,70,0.63786,0
140,80,0.66761,0
140,90,0.67831,0
140,100,0.67614,0
140,110,0.66566,0
140,120,0.64971,0
140,130,0.63035,0
140,140,0.60932,0
140,150,0.58814,0
140,160,0.56805,0
140,170,0.54985,0
140,180,0.53384,0
140,190,0.51963,0
140,200,0.50584,0
140,210,0.48961,0
140,220,0.46664,0
140,230,0.43294,0
140,240,0.38808,0
150,50,0.49435,0
150,60,0.5655,0
150,70,0.61748,0
150,80,0.64823,0
150,90,0.66186,0
150,100,0.6637,0
150,110,0.65765,0
150,120,0.64616,0
150,130,0.63101,0
150,140,0.61378,0
150,150,0.59586,0
150,160,0.57841,0
150,170,0.56224,0
150,180,0.54766,0
150,190,0.53435,0
150,200,0.521,0
150,210,0.50481,0
150,220,0.48158,0
150,230,0.44736,0
150,240,0.40181,0
160,50,0.47682,0
160,60,0.54303,0
160,70,0.59293,0
160,80,0.62457,0
160,90,0.6413,0
160,100,0.64753,0
160,110,0.64645,0
160,120,0.64008,0
160,130,0.62988,0
160,140,0.61718,0
160,150,0.60317,0
160,160,0.5889,0
160,170,0.57508,0
160,180,0.56204,0
160,190,0.54949,0
160,200,0.53624,0
160,210,0.51965,0
160,220,0.49572,0
160,230,0.46071,0
160,240,0.41442,0
170,50,0.45778,0
170,60,0.51888,0
170,70,0.56659,0
170,80,0.59911,0
170,90,0.61907,0
170,100,0.62994,0
170,110,0.63424,0
170,120,0.63349,0
170,130,0.62882,0
170,140,0.62122,0
170,150,0.61166,0
170,160,0.60096,0
170,170,0.58972,0
170,180,0.57821,0
