X,Y,Means,Confidence
0.02,0.02,0.0014735,1
0.02,0.04,0.0029122,0
0.02,0.06,0.0053094,0
0.02,0.08,0.008933,0
0.02,0.1,0.013874,0
0.02,0.12,0.019894,0
0.02,0.14,0.026347,0
0.02,0.16,0.032246,0
0.02,0.18,0.036521,0
0.02,0.2,0.038392,0
0.02,0.22,0.0377,0
0.02,0.24,0.035042,0
0.02,0.26,0.031614,0
0.02,0.28,0.028814,0
0.02,0.3,0.027744,0
0.02,0.32,0.028827,0
0.02,0.34,0.031658,0
0.02,0.36,0.03516,0
0.02,0.38,0.037998,0
0.02,0.4,0.039083,0
0.02,0.42,0.037998,0
0.02,0.44,0.035161,0
0.02,0.46,0.031658,0
0.02,0.48,0.028828,0
0.02,0.5,0.027749,0
0.02,0.52,0.028828,0
0.02,0.54,0.031658,0
0.02,0.56,0.035161,0
0.02,0.58,0.037998,0
0.02,0.6,0.039083,0
0.02,0.62,0.037998,0
0.02,0.64,0.03516,0
0.02,0.66,0.031658,0
0.02,0.68,0.028827,0
0.02,0.7,0.027744,0
0.02,0.72,0.028814,0
0.02,0.74,0.031614,0
0.02,0.76,0.035042,0
0.02,0.78,0.0377,0
0.02,0.8,0.038392,0
0.02,0.82,0.036521,0
0.02,0.84,0.032246,0
0.02,0.86,0.026347,0
0.02,0.88,0.019894,0
0.02,0.9,0.013874,0
0.02,0.92,0.008933,0
0.02,0.94,0.0053094,0
0.02,0.96,0.0029122,0
0.02,0.98,0.0014735,0
0.04,0.02,0.0029122,0
0.04,0.04,0.0057557,0
0.04,0.06,0.010493,0
0.04,0.08,0.017655,0
0.04,0.1,0.02742,0
0.04,0.12,0.039319,0
0.04,0.14,0.052072,0
0.04,0.16,0.06373,0
0.04,0.18,0.07218,0
0.04,0.2,0.075877,0
0.04,0.22,0.074509,0
0.04,0.24,0.069256,0
0.04,0.26,0.062482,0
0.04,0.28,0.056947,0
0.04,0.3,0.054833,0
0.04,0.32,0.056973,0
0.04,0.34,0.062568,0
0.04,0.36,0.069491,0
0.04,0.38,0.075098,0
0.04,0.4,0.077242,0
0.04,0.42,0.075098,0
0.04,0.44,0.069491,0
0.04,0.46,0.062569,0
0.04,0.48,0.056976,0
0.04,0.5,0.054842,0
0.04,0.52,0.056976,0
0.04,0.54,0.062569,0
0.04,0.56,0.069491,0
0.04,0.58,0.075098,0
0.04,0.6,0.077242,0
0.04,0.62,0.075098,0
0.04,0.64,0.069491,0
0.04,0.66,0.062568,0
0.04,0.68,0.056973,0
0.04,0.7,0.054833,0
0.04,0.72,0.056947,0
0.04,0.74,0.062482,0
0.04,0.76,0.069256,0
0.04,0.78,0.074509,0
0.04,0.8,0.075877,0
0.04,0.82,0.07218,0
0.04,0.84,0.06373,0
0.04,0.86,0.052072,0
0.04,0.88,0.039319,0
0.04,0.9,0.02742,0
0.04,0.92,0.017655,0
0.04,0.94,0.010493,0
0.04,0.96,0.0057557,0
0.04,0.98,0.0029122,0
0.06,0.02,0.0053091,0
0.06,0.04,0.010493,0
0.06,0.06,0.01913,0
0.06,0.08,0.032186,0
0.06,0.1,0.049988,0
0.06,0.12,0.071681,0
0.06,0.14,0.09493,0
0.06,0.16,0.11618,0
0.06,0.18,0.13159,0
0.06,0.2,0.13833,0
0.06,0.22,0.13584,0
0.06,0.24,0.12626,0
0.06,0.26,0.11391,0
0.06,0.28,0.10382,0
0.06,0.3,0.099963,0
0.06,0.32,0.10387,0
0.06,0.34,0.11407,0
0.06,0.36,0.12669,0
0.06,0.38,0.13691,0
0.06,0.4,0.14082,0
0.06,0.42,0.13691,0
0.06,0.44,0.12669,0
0.06,0.46,0.11407,0
0.06,0.48,0.10387,0
0.06,0.5,0.09998,0
0.06,0.52,0.10387,0
0.06,0.54,0.11407,0
0.06,0.56,0.12669,0
0.06,0.58,0.13691,0
0.06,0.6,0.14082,0
0.06,0.62,0.13691,0
0.06,0.64,0.12669,0
0.06,0.66,0.11407,0
0.06,0.68,0.10387,0
0.06,0.7,0.099963,0
0.06,0.72,0.10382,0
0.06,0.74,0.11391,0
0.06,0.76,0.12626,0
0.06,0.78,0.13584,0
0.06,0.8,0.13833,0
0.06,0.82,0.13159,0
0.06,0.84,0.11618,0
0.06,0.86,0.09493,0
0.06,0.88,0.071681,0
0.06,0.9,0.049988,0
0.06,0.92,0.032186,0
0.06,0.94,0.01913,0
0.06,0.96,0.010493,0
0.06,0.98,0.0053091,0
0.08,0.02,0.0089318,0
0.08,0.04,0.017653,0
0.08,0.06,0.032184,0
0.08,0.08,0.054149,0
0.08,0.1,0.084098,0
0.08,0.12,0.12059,0
0.08,0.14,0.15971,0
0.08,0.16,0.19546,0
0.08,0.18,0.22138,0
0.08,0.2,0.23272,0
0.08,0.22,0.22852,0
0.08,0.24,0.21241,0
0.08,0.26,0.19164,0
0.08,0.28,0.17466,0
0.08,0.3,0.16817,0
0.08,0.32,0.17474,0
0.08,0.34,0.1919,0
0.08,0.36,0.21313,0
0.08,0.38,0.23033,0
0.08,0.4,0.2369,0
0.08,0.42,0.23033,0
0.08,0.44,0.21313,0
0.08,0.46,0.1919,0
0.08,0.48,0.17475,0
0.08,0.5,0.1682,0
0.08,0.52,0.17475,0
0.08,0.54,0.1919,0
0.08,0.56,0.21313,0
0.08,0.58,0.23033,0
0.08,0.6,0.2369,0
0.08,0.62,0.23033,0
0.08,0.64,0.21313,0
0.08,0.66,0.1919,0
0.08,0.68,0.17474,0
0.08,0.7,0.16817,0
0.08,0.72,0.17466,0
0.08,0.74,0.19164,0
0.08,0.76,0.21241,0
0.08,0.78,0.22852,0
0.08,0.8,0.23272,0
0.08,0.82,0.22138,0
0.08,0.84,0.19546,0
0.08,0.86,0.15971,0
0.08,0.88,0.12059,0
0.08,0.9,0.084098,0
0.08,0.92,0.054149,0
0.08,0.94,0.032184,0
0.08,0.96,0.017653,0
0.08,0.98,0.0089318,0
0.1,0.02,0.013869,0
0.1,0.04,0.027412,0
0.1,0.06,0.049975,0
0.1,0.08,0.084083,0
0.1,0.1,0.13059,0
0.1,0.12,0.18726,0
