X,Y,Means
140,100,3.6348
530,210,1.8547
500,100,0.76848
180,170,0.75631
430,60,3.0363
180,200,0.46886
650,100,0.41044
600,210,4.9011
400,90,4.9613
300,60,0.59179
470,240,0.17206
70,100,4.1764
480,210,0.40625
230,230,1.5738
240,130,1.0212
390,180,2.2768
510,160,0.93547
520,60,0.2314
80,110,4.5242
130,110,4.0967
360,190,3.1041
420,80,4.2769
650,130,1.1382
170,160,1.0371
160,230,0.16573
310,180,4.7995
150,220,0.22151
140,150,2.2203
360,200,2.9252
520,220,1.2993
280,120,1.5495
390,220,1.1892
130,160,2.0441
590,190,4.8047
220,130,0.7626
500,50,0.41796
350,100,3.4431
310,210,4.892
650,70,0.10327
260,60,0.16577
120,220,0.26617
340,70,2.1565
370,220,1.9668
80,160,2.2469
560,60,0.093736
460,100,2.4512
230,220,1.7427
330,100,2.4419
190,150,0.87027
50,150,1.8394
170,180,0.67894
510,210,1.0102
480,230,0.28818
360,70,3.1155
510,70,0.40508
470,120,1.7839
380,140,4.0284
340,240,2.6848
290,150,3.2445
330,180,4.377
130,170,1.5803
400,230,0.73685
490,90,1.0098
220,210,1.3883
420,150,2.9744
530,230,1.5733
450,130,2.5748
390,90,4.892
640,60,0.072074
380,120,4.6473
60,220,0.20386
650,220,2.7995
610,100,0.66402
250,50,0.10107
70,140,3.0327
500,160,0.82196
450,210,0.37856
480,170,0.7626
600,240,3.6308
410,80,4.5494
460,130,2.0813
570,170,3.4942
410,210,0.8752
330,60,1.4456
110,180,1.366
150,140,2.2292
50,80,2.7995
250,200,3.0477
220,180,1.3635
550,100,0.46597
130,200,0.58065
590,70,0.16992
300,140,2.9263
310,240,3.5785
580,180,4.2629
460,190,0.60817
70,220,0.23456
540,240,1.7693
630,60,0.082956
310,60,0.8163
470,60,1.3663
510,100,0.57862
490,230,0.40811
90,140,3.5592
420,50,2.8027
140,220,0.23139
570,60,0.094078
200,130,0.82057
290,80,0.68892
100,230,0.17164
260,70,0.23144
110,150,2.9748
200,160,0.82156
230,90,0.34887
230,80,0.27675
70,180,1.1613
100,100,5.0002
230,140,1.0482
220,160,1.1498
160,180,0.76827
380,90,4.6478
590,200,4.9015
240,110,0.60817
580,120,1.2904
210,140,0.80715
300,50,0.46699
350,210,3.2423
70,150,2.5332
380,60,3.3792
110,210,0.43939
410,150,3.2445
300,150,3.4441
110,120,4.5252
470,170,0.85939
