X,Y,Means
130,90,3.5481
650,230,2.711
620,130,1.9999
380,100,2.3185
330,240,1.7661
430,160,3.1877
350,50,2.327
70,110,3.8416
200,80,1.4806
60,180,1.4316
570,190,4.5066
100,80,4.3477
240,190,1.1579
300,210,6.1117
90,160,2.7097
310,150,3.7905
470,110,1.1168
200,150,0.69439
360,130,3.8731
360,110,2.9742
390,190,4.1066
460,70,3.3387
210,80,0.68907
470,120,0.79032
420,230,-0.77885
260,230,3.6913
170,240,1.4711
660,220,3.0847
140,130,3.5687
470,140,2.2168
640,170,2.4851
100,130,4.0261
500,220,0.95514
310,240,4.0015
630,210,4.0484
150,140,4.3594
480,240,-0.80915
110,230,-0.45496
270,170,4.1321
630,240,2.0815
160,150,1.6725
490,100,2.24
280,80,0.1466
260,100,0.14018
600,220,5.3269
520,130,0.82252
430,150,4.1364
440,100,2.0395
250,50,-0.82231
400,150,0.63235
120,90,4.2806
140,180,1.6237
530,140,1.2703
380,60,3.2666
350,140,2.9075
310,220,1.5719
120,70,2.4368
620,120,0.83442
350,210,3.5459
110,190,1.1905
270,220,2.8635
230,180,2.3799
180,200,0.11868
120,180,0.56989
360,120,3.4432
120,240,-0.40526
130,70,3.1624
430,50,2.0796
600,70,1.148
80,70,2.1871
460,180,-0.55327
560,110,0.84132
620,160,3.5713
500,190,0.033057
130,120,3.5932
420,110,5.4539
60,200,1.9149
390,220,0.87335
650,100,0.50859
620,60,0.75661
610,80,0.052728
150,120,2.6924
650,130,1.3334
510,130,-0.22637
160,110,4.9324
650,150,0.37827
450,230,1.5442
160,160,1.6513
180,160,0.75625
220,240,1.9351
520,170,1.0205
440,120,4.0824
540,60,-0.11241
520,200,0.46473
520,100,0.57578
440,110,2.6976
420,70,3.575
300,90,-0.39008
170,230,2.6396
250,80,1.7547
90,220,1.2826
350,150,5.0519
530,90,2.0454
560,80,-0.52289
480,210,0.68866
100,120,5.0456
230,150,1.0264
400,170,1.3467
500,120,2.0897
370,180,2.2777
610,150,1.6507
640,220,2.1804
270,230,3.8948
310,100,1.4778
140,140,2.7954
140,120,1.8446
380,50,2.7362
140,110,3.488
570,240,4.4975
460,160,1.0348
390,130,5.0522
190,90,-0.24287
220,110,-0.36137
660,170,0.78892
490,110,0.55826
210,130,1.7982
200,220,-0.27366
120,200,2.4131
130,180,1.1286
330,220,3.71
440,210,-0.11639
160,240,1.3501
90,50,2.569
130,190,-0.73567
470,60,0.89052
640,150,2.2148
330,90,3.5014
250,200,3.6222
190,170,0.094807
260,170,3.964
110,210,-0.15981
630,200,4.8257
280,230,4.3941
160,190,0.72829
320,130,2.7056
350,200,2.0926
330,150,2.616
110,140,3.7694
500,50,0.18951
500,100,0.34466
100,180,-0.91726
490,240,1.6863
140,90,2.2325
500,150,1.5337
480,180,0.76216
440,190,2.8716
540,110,0.34633
470,160,-0.73878
390,150,3.1064
520,140,0.64512
160,200,1.5408
560,220,4.6592
590,50,0.27478
460,110,3.8568
240,90,-0.03005
390,140,5.3485
80,100,7.2866
120,170,1.0309
550,100,1.6974
170,90,2.7775
510,140,1.5878
420,240,0.79506
660,180,4.5572
370,240,1.786
360,180,1.9516
450,150,1.695
410,240,-0.49948
200,120,1.8695
590,130,2.5637
190,100,1.5646
470,50,1.4237
80,230,1.4103
550,190,1.7857
540,230,3.12
330,180,4.2813
460,50,2.8862
490,60,0.75467
350,70,1.1874
340,120,4.1371
630,70,0.43673
570,130,2.2985
650,70,0.094079
420,120,3.8467
440,160,2.3811
200,160,0.92997
320,60,0.83574
500,80,-0.6231
240,70,0.59063
660,50,1.2455
60,70,1.9921
330,190,3.7555
460,130,1.679
580,80,0.94585
240,150,2.217
130,60,4.6815
580,180,3.793
490,50,2.0596
660,200,3.4545
420,50,4.8192
290,130,4.3394
150,50,0.15949
400,70,2.1346
440,60,4.8147
70,170,2.4504
460,150,2.1917
610,160,2.9052
340,190,4.5103
480,130,2.0211
210,150,1.276
490,220,1.0636
640,120,0.97914
260,70,0.91443
160,230,-0.27953
660,210,2.145
390,230,-0.32679
210,160,-0.32115
120,210,1.1334
600,80,2.0946
190,220,1.994
380,230,1.3199
220,230,2.4941
170,180,-0.078071
540,70,1.0645
330,60,3.2075
540,100,-0.11305
60,120,2.3089
340,180,3.6781
190,200,-1.062
80,240,0.57256
370,60,2.9665
510,120,2.5341
550,150,3.8878
310,80,2.3492
200,90,-0.39617
230,220,2.8632
400,140,3.6452
380,110,5.7659
220,150,0.88589
340,60,2.4058
160,180,2.373
630,140,2.062
650,60,-0.77185
610,220,3.7479
470,70,2.0693
560,60,1.6973
220,140,0.48774
600,110,1.7599
310,190,5.1546
100,230,1.6576
380,190,1.9058
530,180,1.6824
350,180,3.1523
280,220,2.6631
590,180,3.8278
470,220,-0.14864
450,220,0.82401
480,90,2.5161
540,220,3.2898
230,210,1.3229
80,120,2.4258
200,140,0.29081
140,210,0.64274
370,70,2.3376
340,110,1.9874
540,80,1.4755
70,70,3.6097
160,80,0.1056
400,80,6.6402
530,110,0.34273
100,240,-0.51266
230,240,1.2623
470,230,1.3093
140,240,-0.024584
340,80,2.1831
320,100,-0.60274
510,220,0.9562
200,180,2.7129
190,80,1.0088
70,210,1.2387
600,90,-0.80559
140,230,0.13919
180,140,1.3714
230,230,4.0289
650,50,0.72761
390,50,2.6639
460,120,2.0318
290,70,-0.10517
440,230,0.050775
50,100,2.7986
330,170,4.4627
450,100,4.0064
220,90,0.32744
580,90,1.1665
270,190,3.966
260,180,4.2271
370,80,5.2464
400,110,5.5258
640,230,4.0801
530,80,0.24253
330,110,0.5946
210,230,2.0914
110,110,4.2199
470,100,1.7177
510,150,1.5534
540,190,1.1484
600,210,4.2412
510,70,-0.20362
530,220,0.51789
60,50,2.3033
430,180,0.69818
170,50,1.5263
510,230,-0.66493
660,130,0.91824
80,140,6.086
310,230,4.6923
180,50,-0.057803
230,160,1.4426
520,110,0.23094
110,200,1.3326
350,230,4.4348
460,60,2.057
240,210,2.4062
570,100,0.6119
570,160,0.74187
360,220,1.4687
450,190,0.54064
50,50,3.5733
290,100,0.99337
110,180,1.8477
280,130,1.9689
440,240,0.80173
380,90,5.8082
360,190,1.9497
250,230,2.5971
460,230,0.0084656
410,130,3.2426
480,110,2.4874
380,120,5.2421
330,50,0.7609
480,70,1.1084
650,80,0.63053
60,140,2.9649
260,90,0.38592
630,160,4.5809
620,70,-0.057431
470,200,-0.042712
620,140,2.6398
640,200,2.6777
510,180,-0.11755
560,140,2.1416
70,240,-0.062258
360,200,2.2218
250,190,4.8702
580,200,5.1351
250,130,0.37276
290,150,1.5151
190,230,-0.087237
470,190,0.66775
630,150,1.272
340,160,3.296
570,220,4.4134
600,130,2.4825
500,210,0.7286
250,220,2.2387
580,150,3.6846
400,130,5.1302
290,60,1.4554
70,220,-1.9914
500,140,0.68859
400,120,4.1417
100,190,0.44944
320,210,5.2762
640,70,-0.74822
430,170,2.8858
320,180,4.954
140,50,3.4921
660,120,1.2974
590,100,0.8796
110,120,3.9564
330,160,5.2436
50,240,0.32119
210,190,0.82047
490,80,-0.79891
180,190,-1.2077
280,240,3.0312
300,140,2.4475
450,140,2.6001
50,170,1.5459
440,140,2.8641
250,150,0.90301
610,210,3.9972
240,160,0.9905
390,80,4.8557
260,110,1.428
210,140,1.2141
500,70,0.62202
540,140,2.1602
170,170,-0.18565
220,100,0.56662
290,230,4.5405
280,210,5.2771
510,170,2.8257
100,160,3.3618
450,70,4.1259
590,160,3.929
